"Rank","Company","HQ_Country","Revenue_FY2024","Therapeutic_Focus","Primary_Entry_Department","Tier_1_Roles","Tier_2_Roles","Likely_Budget_Owner","Estimated_Deal_Complexity","Strategic_Entry_Angle","Interest_Initiator","Scientific_Validator"
"11","Novo Nordisk","Denmark","$42.1B (DKK ~290B)","Diabetes, obesity, cardiovascular disease, rare blood disorders, rare endocrine disorders, chronic kidney disease, Alzheimer's disease (exploratory)","Pharmacovigilance / Drug Safety","Chief Scientific Officer / EVP, R&D; SVP, Clinical Development, Medical & Regulatory Affairs (U.S.); VP / SVP, Global Safety (Head of Pharmacovigilance)","VP, Global Regulatory Affairs; Head of Clinical Operations / VP Clinical Trials; Head of Real-World Evidence / HEOR","CSO / EVP R&D (enterprise-level R&D budget) or SVP Clinical Development, Medical & Regulatory Affairs (U.S. budget)","High","ArcaScience should position its BRA platform as a critical enabler for Novo Nordisk's unprecedented multi-indication expansion of semaglutide and its next-generation obesity pipeline (CagriSema, amycretin).","VP Global Safety / Head of Pharmacovigilance or VP Regulatory Affairs -- driven by the complexity of managing semaglutide B/R across 10+ indications and ongoing PRAC scrutiny","Chief Scientific Officer or Head of Biostatistics -- must validate that the probabilistic modeling approach is scientifically rigorous"
"12","GSK","UK","$38.4B (GBP 31.4B)","Respiratory/immunology & inflammation, oncology, HIV, infectious diseases (vaccines)","Regulatory Affairs","Chief Scientific Officer / President R&D; SVP / VP, Global Regulatory Affairs; SVP, Global Safety / Head of Pharmacovigilance","Therapeutic Area Head, Oncology; Head of HIV R&D; Head of Data Science / AI & Analytics","CSO (R&D budget of GBP 6.4B) or individual TA heads with delegated budget authority","High","ArcaScience should target GSK's oncology B/R pain point as the primary entry vector.","VP Global Regulatory Affairs or Head of Oncology Development -- driven by Blenrep ODAC failure highlighting need for more sophisticated B/R quantification, or HIV TA head managing patent cliff transition","CSO or Head of Biostatistics & Data Science -- must confirm probabilistic modeling validity for health authority submissions"
"13","Bayer (Pharma)","Germany","$17.8B (pharma division, within EUR 46.6B group revenue)","Oncology (precision oncology, targeted radionuclide therapy), cardiovascular disease, immunology, neurology & rare diseases, women's health","Pharmacovigilance / Drug Safety","Head of R&D, Pharmaceuticals Division; President, Pharmaceuticals Division (Board Member); VP / SVP, Global Drug Safety & Pharmacovigilance","Head of Global Commercialization (Oncology lead); Head of Cardiovascular/Metabolic R&D; Head of Cell & Gene Therapy Development","Head of R&D, Pharmaceuticals Division or President, Pharmaceuticals Division","Medium","ArcaScience should position its platform as essential for Bayer's portfolio transition -- the simultaneous decline of Xarelto and launch of 4+ new products (Nubeqa expansion, Kerendia expansion, Beyonttra, elinzanetant) creates an unprecedented B/R management challenge.","Head of R&D or Head of Drug Safety -- driven by the complexity of managing B/R across a portfolio in massive transition (Xarelto declining, 4+ new products launching simultaneously)","Head of R&D or Head of Biostatistics -- must validate probabilistic approach within Bayer's data-driven culture"
"14","Takeda","Japan","$30.4B (FY ending March 2025: ~$30.2B anticipated)","Gastrointestinal & inflammation (Entyvio franchise), rare genetics & hematology, neuroscience, oncology, plasma-derived therapies, vaccines","Regulatory Affairs","Chief Medical Officer / Global Head of R&D; Head of Global Regulatory Affairs; Head of Global Pharmacovigilance / Chief Safety Officer","Head of GI & Inflammation R&D; Head of Neuroscience R&D; Head of Rare Disease / Hematology R&D","CMO / Head of R&D (global R&D budget in mid-teens percent of revenue, ~$4-5B)","High","ArcaScience should target Takeda's ""most robust late-stage pipeline in company history"" as the entry point.","Head of Global Regulatory Affairs or CMO -- driven by the unprecedented challenge of filing six programs simultaneously across multiple geographies","CMO / Head of Biostatistics -- Takeda's data-driven culture requires rigorous validation of probabilistic B/R models"
"15","Amgen","USA","$33.4B (19% YoY increase)","Obesity (MariTide), oncology (T-cell engagers, targeted therapies), inflammation/respiratory (TEZSPIRE), cardiovascular (Repatha), bone health (EVENITY, Prolia), rare disease (TEPEZZA, KRYSTEXXA, UPLIZNA, TAVNEOS), biosimilars","Pharmacovigilance / Drug Safety","EVP, Research & Development; EVP, Obesity & Related Conditions; SVP / VP, Global Drug Safety & Pharmacovigilance","VP, Global Regulatory Affairs; VP, Oncology R&D; VP, Rare Disease / Horizon Integration","EVP R&D (record $6.0B R&D budget) or EVP Obesity & Related Conditions (dedicated budget authority)","High","ArcaScience should lead with the MariTide obesity story.","EVP Obesity & Related Conditions or SVP Drug Safety -- the MariTide Phase 3 program will generate the largest safety dataset in Amgen's history and requires sophisticated B/R management in a healthy population","EVP R&D or VP Biostatistics -- must validate that probabilistic BRA meets FDA standards for obesity drug safety evaluation"
"16","Boehringer Ingelheim","Germany","$27.7B (~EUR 29B group net sales; human pharma ~82% of total)","Cardiovascular, renal & metabolic diseases (CRM); oncology; respiratory diseases (IPF); immunology; mental health; retinal health","Pharmacovigilance / Drug Safety","Head of Innovation Unit (Board of Managing Directors); Global Head, Patient Safety & Pharmacovigilance (CSVP); Chief Medical Officer / Head of Corporate Division Medicine","Global Head of R&D (SVP); Head of CRM (Cardiovascular, Renal & Metabolic) R&D; Head of Oncology Research","Head of Innovation Unit (Board member) or CMO (Medicine Division)","High","ArcaScience should position around BI's unique combination of scale and ambition: 60 assets across 90 indications, with a target of 25 new treatments by 2030, managed by a privately held company that can take a long-term view on R&D investments.","Global Head PSPV or CMO -- driven by the scale of managing B/R across 60 assets in 90 indications, or the oncology re-entry requiring new B/R frameworks for novel modalities","Head of Innovation Unit or Global Head of R&D -- must confirm scientific rigor of probabilistic BRA approach"
"17","Gilead Sciences","USA","$28.8B (6% increase YoY)","HIV/virology (Biktarvy, lenacapavir), oncology (CAR T / Kite Pharma: Yescarta, Tecartus; Trodelvy), liver disease (Livdelzi, bulevirtide), inflammation","Pharmacovigilance / Drug Safety","Chief Medical Officer; SVP / VP, Global Regulatory Affairs; SVP / VP, Global Drug Safety & Pharmacovigilance","Head of HIV R&D / VP Virology; Head of Kite Pharma / Oncology R&D; Head of Global Access / Public Health","CMO (R&D budget) or VP HIV R&D (lenacapavir franchise budget)","High","ArcaScience should lead with the lenacapavir PrEP story.","New CMO or VP Drug Safety -- the new CMO is likely evaluating tools to support the expanded 60-program pipeline; PV leader faces the unique challenge of monitoring safety in healthy PrEP populations alongside CAR T toxicities","CMO or VP Biostatistics -- must validate probabilistic models for FDA-grade B/R submissions, especially for PrEP populations"
"18","CSL","Australia","$13.3B (US$15.6B in FY2025 ending June 2025)","Plasma-derived therapies (immunoglobulins, hematology), rare diseases (hereditary angioedema, SCD), cardiovascular & renal (IgA nephropathy, CKD), transplant & immunology, influenza vaccines, iron deficiency/nephrology (CSL Vifor)","Pharmacovigilance / Drug Safety","EVP, Head of R&D / Chief Medical Officer; SVP, Global Head of Safety and Pharmacovigilance (GSPV); SVP, Head of Global Regulatory Affairs","EVP, CSL Behring (Business Unit Head); Head of Hematology / Gene Therapy R&D; General Manager, CSL Seqirus","CMO/Head of R&D (R&D budget of $1.4B) or EVP CSL Behring (business unit budget)","Medium","ArcaScience should position around CSL's unique modality diversity challenge.","SVP GSPV or CMO/Head of R&D -- driven by the unique challenge of managing B/R across the most modality-diverse portfolio in biopharma (plasma, recombinant, gene therapy, vaccines, small molecules)","CMO/Head of R&D or Head of Biostatistics -- must validate that the platform can accommodate fundamentally different B/R frameworks across modalities"
"19","Regeneron","USA","$14.2B (8% increase YoY)","Immunology/inflammation (Dupixent), ophthalmology (Eylea/Eylea HD), oncology/hematology (Libtayo, bispecific antibodies), cardiovascular/metabolic, rare diseases, obesity (entering via partnership), genetic medicine","Pharmacovigilance / Drug Safety","Chief Scientific Officer / Head of R&D; SVP / VP, Regulatory Affairs; SVP / VP, Drug Safety & Pharmacovigilance","Head of Immunology & Inflammation R&D; Head of Oncology & Hematology R&D; Head of Regeneron Genetics Center","CSO/Head of R&D ($5.1B R&D spend, growing to $6B) or individual TA heads","Medium","ArcaScience should position around Regeneron's unique genetics-driven R&D model.","VP Drug Safety or Head of Immunology R&D -- driven by managing Dupixent B/R across a $14B franchise spanning 10+ indications, or oncology R&D for bispecific antibody platform governance","Chief Scientific Officer -- Regeneron's science-first culture means the CSO/co-founder must be convinced of the scientific merit of the probabilistic B/R approach"
"20","Teva Pharmaceutical","Israel","$16.5B","Generics (world's largest manufacturer, 1,800+ molecules), CNS/neuroscience (AUSTEDO, AJOVY, UZEDY, COPAXONE), immunology/immuno-oncology (emerging), biosimilars","Pharmacovigilance / Drug Safety","Chief Medical Officer / Head of R&D; EVP, Global Operations (Manufacturing & Supply); VP / SVP, Global Drug Safety & Pharmacovigilance","VP, Regulatory Affairs (Global); Head of CNS / Neuroscience R&D; Head of Immunology/Immuno-Oncology R&D","CMO/Head of R&D ($1.2B R&D budget) or CEO (given the strategic nature of the ""Pivot to Growth"")","Medium","ArcaScience should frame the value proposition around Teva's ""Pivot to Growth"" transformation.","CMO/Head of R&D or VP Drug Safety -- driven by the ""Pivot to Growth"" mandate that elevates the importance of innovative medicine B/R governance beyond the traditional generics focus","CMO or VP Biostatistics -- must validate that the platform adds value beyond what Teva's bioequivalence-focused analytical capabilities already provide"
"21","Viatris","USA","$15.4B ($14.7B reported; divestiture-adjusted operational revenue growth of 2%)","Generics, complex generics, biosimilars, branded specialty products (ophthalmology, dermatology, gastroenterology), CNS (Effexor franchise in Japan), women's health (contraceptives)","R&D / Research & Development","Chief Medical Officer / Head of R&D; Chief Quality Officer / EVP Quality & Compliance; VP / SVP, Global Drug Safety & Pharmacovigilance","VP, Regulatory Affairs (Global); Head of Ophthalmology / Eye Care R&D; Head of Biosimilar Development","CMO/Head of R&D (R&D expenses of $809M) or CEO (given strategic review context)","Medium","ArcaScience should position around Viatris's transformation from a generics giant to a specialty pharmaceutical company.","CMO/Head of R&D or Chief Quality Officer -- the Indore crisis has elevated manufacturing quality and safety governance to the highest priority; alternatively, CMO needs to build B/R governance for 11 Phase 3 innovative programs","CMO or Head of Regulatory Affairs -- must validate that the platform meets the needs of both generics-adjacent and specialty medicine B/R"
"22","Astellas Pharma","Japan","$13.2B (JPY ~1.9T; record-high revenue and core operating profit in 20-year history)","Oncology (prostate cancer, bladder cancer, solid tumors), ophthalmology (IZERVAY for geographic atrophy), urology, transplant & immunology, women's health (VEOZAH for vasomotor symptoms)","Pharmacovigilance / Drug Safety","Chief Research & Development Officer (CRDO); Head of Regulatory Affairs & Pharmacovigilance (combined function); Head of Oncology Development","Head of Biopharma & Ophthalmology Development; Chief Digital & Transformation Officer (CDTO); Primary Focus Lead, Immuno-Oncology","CRDO (R&D budget of JPY 327.7B, ~17% of sales) or CDTO (digital transformation budget)","Medium","ArcaScience should target Astellas's integrated Regulatory Affairs & Pharmacovigilance function as the primary entry point.","Head of Regulatory Affairs & Pharmacovigilance -- the combined RA/PV role creates a single leader with direct need for integrated B/R tools; alternatively, Head of Oncology Development for PADCEV B/R governance","CRDO -- must endorse the scientific rigor of probabilistic B/R modeling within the Focus Area framework"
"23","Daiichi Sankyo","Japan","$11.4B (JPY ~1,367.6B; 16.6% YoY increase)","Oncology (ADC platform -- HER2, TROP2, HER3, B7-H3, CDH6, TA-MUC1, CLDN6), cardiovascular (legacy franchise)","Pharmacovigilance / Drug Safety","Chief Medical Officer / Global Head of R&D; Head of Global Regulatory Affairs; Head of Clinical Safety & Pharmacovigilance (CSPV)","Head of Global Oncology Business / CEO Daiichi Sankyo Inc. (U.S.); EVP, Drug Development for the Americas; Head of Oncology Research","CMO/Global Head of R&D or CEO Daiichi Sankyo Inc. (U.S. subsidiary has significant operational budget authority)","Medium","ArcaScience should position around Daiichi Sankyo's unique platform-level B/R challenge.","New CMO or Head of CSPV -- the new CMO (ex-Novartis, with experience in large portfolio B/R governance) is likely to recognize the need for platform-level B/R tools; alternatively, the CSPV head managing the ILD signal across multiple ADCs","CMO or Global Head of R&D -- must validate that probabilistic B/R modeling can handle the cross-ADC platform signal analysis that is unique to Daiichi Sankyo"
"24","Vertex Pharmaceuticals","USA","$11.0B ($11.02B product revenue; 12% increase YoY; raised to ~$12B for FY2025)","Cystic fibrosis (TRIKAFTA, ALYFTREK), acute pain (JOURNAVX/suzetrigine), sickle cell disease/thalassemia (CASGEVY gene therapy), kidney disease (IgA nephropathy, APOL1-mediated, primary membranous nephropathy, ADPKD), type 1 diabetes, generalized myasthenia gravis, myotonic dystrophy type 1","Pharmacovigilance / Drug Safety","Chief Operating Officer / Chief Financial Officer (combined role); SVP / VP, Regulatory Affairs; SVP / VP, Drug Safety & Pharmacovigilance","Head of CF Clinical Development; Head of Pain R&D / Chief Commercial Officer; Head of Gene Therapy / Cell Therapy Development","COO/CFO (dual role with operational budget authority) or Head of R&D","Medium","ArcaScience should position around Vertex's unprecedented multi-modality, multi-launch execution challenge.","VP Drug Safety or VP Regulatory Affairs -- the three-launch execution challenge creates immediate need for efficient B/R management across modalities; alternatively, Head of Gene Therapy for CASGEVY long-term monitoring","CEO (physician-scientist who personally engages in scientific decision-making) or Head of R&D"
"25","Biogen","USA","$9.7B (2% decline YoY; Q4 showed 3% growth)","Neuroscience/neurodegeneration (Alzheimer's, MS, SMA, ALS), rare diseases (Friedreich ataxia, SMA), immunology (lupus, myasthenia gravis), nephrology (IgAN, AMR, PMN), mental health (postpartum depression)","Pharmacovigilance / Drug Safety","EVP, Head of Research / Chief Scientific Officer; SVP / VP, Head of Regulatory Affairs; SVP / VP, Global Drug Safety & Pharmacovigilance","Head of Alzheimer's Disease R&D / LEQEMBI Program Lead; Head of Nephrology R&D (HI-Bio integration); Head of Immunology R&D","EVP Head of Research or CEO (Biogen's R&D budget is being rationalized under ""Fit for Growth,"" so new investments must clearly align with strategic priorities)","Medium","ArcaScience should lead with the LEQEMBI ARIA challenge.","VP Drug Safety or VP Regulatory Affairs -- the LEQEMBI EU CHMP safety data reconsideration is the most immediate pain point; alternatively, the ARIA monitoring challenge as LEQEMBI use expands","EVP Head of Research or CMO -- must validate that the dynamic BRA approach meets the evidentiary standards for neurodegenerative disease B/R, where scientific rigor is paramount"
"26","Bausch Health","Canada","$9.6B (consolidated)","Gastroenterology/hepatology (Salix), ophthalmology (Bausch + Lomb), dermatology, neuroscience, aesthetics (Solta Medical)","Regulatory Affairs","Chief Medical Officer & Head of R&D; EVP, US Pharma (Gastroenterology, Neuroscience, Dermatology); VP, Regulatory Affairs","VP, Pharmacovigilance / Drug Safety; VP, Clinical Development (Salix/GI); VP, Medical Affairs","CMO/Head of R&D or CFO (for enterprise-level investments)","Medium","ArcaScience should target Bausch Health's Salix (GI) division, specifically the RED-C Phase 3 program for rifaximin SSD.","VP Clinical Development or VP Regulatory Affairs — likely to identify the need for dynamic B/R tools during RED-C or other late-stage program planning","CMO/Head of R&D — must be convinced of the scientific rigor and regulatory acceptability of the BRA platform"
"27","Chugai Pharmaceutical","Japan","~$7.9B (¥1.15 trillion; revenue exceeded ¥1 trillion for three consecutive years)","Oncology, immunology, neuroscience, hematology, ophthalmology","Clinical Development","Chief Scientific Officer / Head of R&D; Head of Clinical Development; Head of Regulatory Affairs","Head of Drug Safety / Pharmacovigilance; Head of Lifecycle Management (per project); Head of AI/Digital Innovation (MALEXA Platform)","CSO / Head of R&D — controls the growing R&D budget (¥176.9B)","Medium","ArcaScience should position its BRA platform as complementary to Chugai's MALEXA AI platform, not competitive with it.","Head of Clinical Development or Head of Lifecycle Management — likely to encounter the need for dynamic B/R tools when managing 56+ simultaneous clinical programs","Chief Scientific Officer — must validate that BRA complements the MALEXA and DHBL approaches"
"28","Otsuka Pharmaceutical","Japan","~$7.0B (pharmaceutical segment ~$9.2B under Otsuka Holdings; the pharmaceutical company itself generates approximately $7B)","CNS (schizophrenia, MDD, bipolar disorder, Alzheimer's, ADHD, PTSD), nephrology (ADPKD, IgA nephropathy), digital health, medical devices","Clinical Development","Chief Medical Officer / Head of Global Clinical Development; Head of Global Regulatory Affairs; Head of Nephrology R&D","Head of Pharmacovigilance / Drug Safety; Head of Digital Health Innovation; VP, Medical Affairs (CNS)","CMO or Head of Pharmaceutical Business — controls R&D budget allocation","Medium","ArcaScience should target the sibeprenlimab program in IgA nephropathy as the primary entry point.","Head of Nephrology R&D or VP Clinical Development — likely to identify BRA need during sibeprenlimab regulatory preparation or Jynarque lifecycle management","CMO / Head of Global Clinical Development — must validate scientific rigor and regulatory acceptability"
